City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san felipe,10.3399,-68.7425,21.84,100,13,0.56,VE,1724289910
1,acarau,-2.8856,-40.12,25.4,84,1,8.33,BR,1724289843
2,belyy yar,53.6039,91.3903,15.94,94,0,1.0,RU,1724289910
3,nogliki,51.8333,143.1667,21.51,69,100,6.57,RU,1724289910
4,albany,42.6001,-73.9662,14.26,79,6,2.24,US,1724289910
5,bilibino,68.0546,166.4372,9.05,68,100,2.59,RU,1724289844
6,ubinskoye,55.3068,79.6802,12.78,93,100,2.27,RU,1724289910
7,bikenibeu village,1.3673,173.1241,30.98,70,20,5.14,KI,1724289910
8,grytviken,-54.2811,-36.5092,-6.44,73,13,6.08,GS,1724289910
9,waitangi,-43.9535,-176.5597,9.9,80,1,1.79,NZ,1724289844
10,mahebourg,-20.4081,57.7,22.16,53,75,8.23,MU,1724289844
11,iqaluit,63.7506,-68.5145,13.85,71,75,3.6,CA,1724289910
12,keflavik,64.0049,-22.5624,7.24,81,0,7.2,IS,1724289910
13,albion,42.2431,-84.753,16.12,86,0,0.0,US,1724289910
14,san patricio,28.017,-97.5169,31.97,55,6,6.17,US,1724289911
15,thompson,55.7435,-97.8558,17.09,88,100,6.69,CA,1724289911
16,ribeira grande,38.5167,-28.7,20.99,88,0,2.68,PT,1724289911
17,ukmerge,55.25,24.75,16.67,98,100,4.09,LT,1724289911
18,road town,18.4167,-64.6167,29.02,79,20,6.17,VG,1724289845
19,bethel,41.3712,-73.414,16.61,78,0,2.66,US,1724289911
20,crane,31.3974,-102.3501,37.37,15,5,7.04,US,1724289911
21,port-aux-francais,-49.35,70.2167,2.13,93,95,20.06,TF,1724289911
22,longyearbyen,78.2186,15.6401,11.91,76,75,5.66,SJ,1724289845
23,guerrero negro,27.9769,-114.0611,24.58,61,2,6.87,MX,1724289911
24,pyhajarvi,67.0701,27.2176,10.64,90,99,2.23,FI,1724289845
25,pipraich,26.8264,83.53,25.8,92,35,0.76,IN,1724289911
26,west island,-12.1568,96.8225,26.99,83,100,4.63,CC,1724289911
27,poronaysk,49.2167,143.1167,21.07,76,100,2.51,RU,1724289911
28,constantia,44.1833,28.65,21.5,68,0,3.73,RO,1724289911
29,puerto natales,-51.7236,-72.4875,-0.04,93,6,1.81,CL,1724289845
30,san antonio de pale,-1.4014,5.6325,23.33,80,66,2.84,GQ,1724289912
31,palmer,42.1584,-72.3287,16.09,72,6,1.4,US,1724289845
32,adamstown,-25.066,-130.1015,17.27,55,88,8.62,PN,1724289912
33,isola di capo rizzuto,38.96,17.0933,26.01,67,0,2.81,IT,1724289912
34,vilhena,-12.7406,-60.1458,24.78,33,6,1.16,BR,1724289912
35,saipan,15.1355,145.701,31.39,74,75,4.63,MP,1724289912
36,kailua-kona,19.6406,-155.9956,28.98,92,75,6.17,US,1724289846
37,noumea,-22.2763,166.4572,26.11,99,1,4.81,NC,1724289846
38,cabo san lucas,22.8909,-109.9124,32.17,51,40,6.69,MX,1724289912
39,batang,-6.4846,110.7083,27.62,67,100,1.06,ID,1724289846
40,nova sintra,14.8667,-24.7167,26.04,71,69,2.51,CV,1724289912
41,blackmans bay,-43.0167,147.3167,14.85,49,63,1.79,AU,1724289912
42,invercargill,-46.4,168.35,8.34,75,100,0.89,NZ,1724289624
43,klyuchi,52.2667,79.1667,18.49,57,100,1.38,RU,1724289912
44,west bay,19.3667,-81.4167,31.04,74,20,3.09,KY,1724289913
45,port mathurin,-19.6833,63.4167,21.39,68,80,12.61,MU,1724289913
46,urucurituba,-2.6833,-57.6667,27.42,39,1,1.22,BR,1724289913
47,aswan,24.0934,32.907,31.61,18,0,3.09,EG,1724289839
48,saint-pierre,-21.3393,55.4781,20.82,60,75,6.17,RE,1724289913
49,okha,53.5739,142.9478,21.96,68,20,1.27,RU,1724289913
50,coquimbo,-29.9533,-71.3436,9.85,79,0,0.51,CL,1724289913
51,isafjordur,66.0755,-23.124,3.65,98,100,8.39,IS,1724289847
52,jamestown,42.097,-79.2353,13.9,79,0,2.57,US,1724289670
53,stanley,54.868,-1.6985,14.18,87,20,6.17,GB,1724289913
54,afaahiti,-17.75,-149.2833,23.01,76,56,11.0,PF,1724289913
55,whakatane,-37.9585,176.9854,12.93,66,16,2.08,NZ,1724289900
56,tazovsky,67.4667,78.7,11.24,77,99,1.61,RU,1724289913
